"","WorkerID","Trial","TimeStamp","Condition","Argument1","Argument2","Correct","ConditionID","Testarg1","Testarg2","Question","Response","ResponseImage","RT"
"2703",74,8,1477924820638,"7"," static/images/o6.png"," static/images/o3.png"," static/images/o5.png"," Not"," static/images/o2.png"," static/images/o5.png"," d c"," a"," static/images/o6.png",15418
"2704",74,9,1477924827629,"7"," static/images/o6.png"," static/images/o3.png"," static/images/o5.png"," Not"," static/images/o3.png"," static/images/o3.png"," b b"," b"," static/images/o3.png",5566
"2705",74,10,1477924834631,"7"," static/images/o6.png"," static/images/o3.png"," static/images/o5.png"," Not"," static/images/o6.png"," static/images/o5.png"," a c"," b"," static/images/o3.png",5761
"2706",74,11,1477924849726,"7"," static/images/o6.png"," static/images/o3.png"," static/images/o5.png"," Not"," static/images/o2.png"," static/images/o6.png"," d a"," c"," static/images/o5.png",13663
"2707",74,12,1477924853688,"7"," static/images/o6.png"," static/images/o3.png"," static/images/o5.png"," Not"," static/images/o6.png"," static/images/o3.png"," a b"," c"," static/images/o5.png",3233
"2708",74,13,1477924857844,"7"," static/images/o6.png"," static/images/o3.png"," static/images/o5.png"," Not"," static/images/o5.png"," static/images/o6.png"," c a"," b"," static/images/o3.png",3336
"2709",74,14,1477924862936,"7"," static/images/o6.png"," static/images/o3.png"," static/images/o5.png"," Not"," static/images/o3.png"," static/images/o5.png"," b c"," a"," static/images/o6.png",4447
"2710",74,15,1477924869497,"7"," static/images/o6.png"," static/images/o3.png"," static/images/o5.png"," Not"," static/images/o3.png"," static/images/o2.png"," b d"," a"," static/images/o6.png",5817
"2711",74,16,1477924872846,"7"," static/images/o6.png"," static/images/o3.png"," static/images/o5.png"," Not"," static/images/o6.png"," static/images/o6.png"," a a"," a"," static/images/o6.png",2325
"2712",74,17,1477924876462,"7"," static/images/o6.png"," static/images/o3.png"," static/images/o5.png"," Not"," static/images/o3.png"," static/images/o6.png"," b a"," c"," static/images/o5.png",2729
"2713",74,18,1477924879610,"7"," static/images/o6.png"," static/images/o3.png"," static/images/o5.png"," Not"," static/images/o5.png"," static/images/o5.png"," c c"," c"," static/images/o5.png",2513
"2714",74,19,1477924885019,"7"," static/images/o6.png"," static/images/o3.png"," static/images/o5.png"," Not"," static/images/o5.png"," static/images/o2.png"," c d"," a"," static/images/o6.png",4825
"2715",74,20,1477924891545,"7"," static/images/o6.png"," static/images/o3.png"," static/images/o5.png"," Not"," static/images/o5.png"," static/images/o3.png"," c b"," a"," static/images/o6.png",5897
"2716",74,21,1477924895480,"7"," static/images/o6.png"," static/images/o3.png"," static/images/o5.png"," Not"," static/images/o6.png"," static/images/o2.png"," a d"," b"," static/images/o3.png",3392
"2717",74,22,1477924901248,"7"," static/images/o6.png"," static/images/o3.png"," static/images/o5.png"," Not"," static/images/o2.png"," static/images/o3.png"," d b"," a"," static/images/o6.png",5190
"2725",110,8,1477924804918,"5"," static/images/o3.png"," static/images/o3.png"," static/images/o1.png"," Constant"," static/images/o1.png"," static/images/o3.png"," b a"," b"," static/images/o1.png",3514
"2726",110,9,1477924808768,"5"," static/images/o3.png"," static/images/o3.png"," static/images/o1.png"," Constant"," static/images/o3.png"," static/images/o5.png"," a c"," b"," static/images/o1.png",2000
